"identifiant" "annee_debut" "annee_fin" "statut" "debut" "fin" "age_continu" "delta" "domaine" "age_discret" "cas" "e0d1" "e0d0" "e1d1" "expire_d" "e1d0" "expire_a" "cas_NA"
"1" "AD0008" 1972 1992 "EXP" 26434 33739 20 16.6277777777778 "IPSN" 20 "4" 0 0 0 1 0 0 0
"2" "AD0013" 1972 1992 "EXP" 26493 33798 20 16.4666666666667 "IPSN" 20 "4" 0 0 0 1 0 0 0
"3" "AD0014" 1972 1990 "ABD" 26661 33151 17.7694444444444 16.0083333333333 "DCC" 17 "3" 0 0 1 0 0 0 0
"4" "AD0023" 1972 1990 "ABD" 26619 33072 17.6722222222222 16.125 "DCC" 17 "3" 0 0 1 0 0 0 0
"5" "AD0028" 1973 1991 "ABD" 26802 33268 17.7 15.6194444444444 "DCC" 17 "3" 0 0 1 0 0 0 0
"6" "AD0041" 1974 1989 "ABD" 27073 32827 15.7555555555556 14.8833333333333 NA 15 "3" 0 0 1 0 0 0 0
"7" "AD0049" 1974 1994 "EXP" 27327 34632 20 14.1833333333333 "DCC" 20 "4" 0 0 0 1 0 0 0
"8" "AD0050" 1974 1994 "EXP" 27213 34518 20 14.4944444444444 "DCC" 20 "4" 0 0 0 1 0 0 0
"9" "AD0077" 1975 1992 "ABD" 27584 33701 16.7444444444444 13.4777777777778 "DCC" 16 "3" 0 0 1 0 0 0 0
"10" "AD0083" 1975 1990 "ABD" 27669 33021 14.6555555555556 13.2472222222222 NA 14 "3" 0 0 1 0 0 0 0
"11" "AD0103" 1977 1993 "ABD" 28188 34129 16.2638888888889 11.825 "DCC" 16 "3" 0 0 1 0 0 0 0
"12" "AD0107" 1977 1993 "ABD" 28258 34032 15.8083333333333 11.6333333333333 "DCC" 15 "3" 0 0 1 0 0 0 0
"13" "AD0108" 1977 1992 "ABD" 28311 33969 15.4861111111111 11.4888888888889 NA 15 "3" 0 0 1 0 0 0 0
"14" "AD0114" 1977 1992 "ABD" 28408 33969 15.2222222222222 11.225 NA 15 "3" 0 0 1 0 0 0 0
"15" "AD0117" 1978 1989 "ABD" 28500 32776 11.7083333333333 10.975 NA 11 "3" 0 0 1 0 0 0 0
"16" "AD0136" 1978 1993 "ABD" 28579 34032 14.9277777777778 10.7527777777778 "DCC" 14 "3" 0 0 1 0 0 0 0
"17" "AD0137" 1978 1992 "ABD" 28683 33969 14.4666666666667 10.4694444444444 NA 14 "3" 0 0 1 0 0 0 0
"18" "AD0141" 1979 1992 "ABD" 28916 33969 13.8277777777778 9.83055555555556 NA 13 "3" 0 0 1 0 0 0 0
"19" "AD0144" 1978 1990 "ABD" 28774 33039 11.6777777777778 10.2222222222222 NA 11 "3" 0 0 1 0 0 0 0
"20" "AD0145" 1978 1992 "ABD" 28668 33969 14.5083333333333 10.5111111111111 NA 14 "3" 0 0 1 0 0 0 0
