Num_pub;Pays pub;Nb pays;Date prior;Date est expi;Date expi;Statut;Classification;Entreprise;Year pub;Year exp;Duree active
FR2907915A1;FR;5;2006-10-31;['2026-10-31'];2016-06-30;Status Expire;G; EssilorLuxottica SA;2006;2016;10
EP2221037A1;EP;7;2009-02-23;0000-00-00;2013-02-02;Status Withdr;A; LOreal SA;2009;2013;4
EP1537985A2;EP;14;2001-07-02;0000-00-00;2010-01-28;Status Expire;B; Michelin Recherche et Technique SA Switzerland Michelin Recherche et Technique SA France Societe de Technologie Michelin SAS;2001;2010;9
EP1456537A1;EP;8;2001-10-25;0000-00-00;2006-05-03;Status Withdr;F; MDI Motor Development International SA;2001;2006;5
FR2837530A1;FR;18;2002-03-21;['2022-03-21'];2019-11-05;Status Expire;Y; MDI MOTOR DEV INTERNAT;2002;2019;17
EP1405131A1;EP;9;2001-12-07;0000-00-00;2015-05-04;Status Ceased;G; Saint Gobain Glass France SAS Compagnie de Saint Gobain SA;2001;2015;14
EP2452160A2;EP;8;2009-07-07;['2030-07-07'];2020-06-22;Status Active;G; Moving Magnet Technologie SA;2009;2020;11
EP2443152B1;EP;11;2009-03-04;['2030-04-01'];2020-04-27;Status Active;C; Biomerieux SA;2009;2020;11
EP1279484B1;EP;8;2001-07-26;['2022-07-18'];2011-07-18;Status Expire;B; Michelin Recherche et Technique SA France Societe de Technologie Michelin SAS;2001;2011;10
EP2512416A2;EP;14;2009-12-18;0000-00-00;2014-09-05;Status Withdr;A; LOreal SA;2009;2014;5
EP2407237A1;EP;6;2010-07-16;['2031-06-17'];2020-08-27;Status Active;C; IFP Energies Nouvelles IFPEN ENI SpA;2010;2020;10
FR2968774A1;FR;31;2010-10-12;['2030-12-10'];2018-06-01;Status Active;G; EssilorLuxottica SA;2010;2018;8
FR3000090A1;FR;10;2012-12-20;0000-00-00;2015-04-06;Status Pendin;C; Elkem Silicones France SAS;2012;2015;3
EP2291636A1;EP;6;2008-06-25;['2029-06-25'];2020-06-30;Status Active;G; Horiba ABX SAS;2008;2020;12
EP1651433A2;EP;10;2003-07-16;0000-00-00;2014-02-01;Status Withdr;G; Saint Gobain Glass France SAS Compagnie de Saint Gobain SA;2003;2014;11
EP2368146B1;EP;11;2008-11-27;['2029-11-26'];2019-11-27;Status Active;C; EssilorLuxottica SA;2008;2019;11
FR2879185A1;FR;6;2004-10-12;['2024-12-10'];2019-09-06;Status Expire;C; Air Liquide SA LAir Liquide SA pour lEtude et lExploitation des Procedes Georges Claude;2004;2019;15
FR2942401A1;FR;6;2009-02-23;0000-00-00;2013-10-31;Status Withdr;A; LOreal SA;2009;2013;4
EP2221041A2;EP;7;2009-02-23;0000-00-00;2013-09-03;Status Withdr;A; LOreal SA;2009;2013;4
EP2374168A1;EP;12;2008-12-18;0000-00-00;2015-12-01;Status Withdr;C; Centre National de la Recherche Scientifique CNRS;2008;2015;7
EP3008023A1;EP;8;2013-06-14;['2034-06-13'];2020-06-29;Status Active;C; EssilorLuxottica SA;2013;2020;7
EP2252556A2;EP;6;2008-02-29;0000-00-00;2015-02-25;Status Withdr;C; Saint Gobain Glass France SAS Compagnie de Saint Gobain SA;2008;2015;7
FR2959352A1;FR;4;2010-04-23;['2030-04-23'];2017-12-29;Status Expire;G; Centre National de la Recherche Scientifique CNRS;2010;2017;7
CA2764716C;CA;11;2009-12-06;['2030-06-10'];2017-06-12;Status Expire;C; Elkem Silicones France SAS;2009;2017;8
FR2882518A1;FR;5;2005-02-28;['2025-02-28'];2015-10-30;Status Expire;A; LOreal SA;2005;2015;10
EP2919969B1;EP;11;2012-11-19;['2033-11-18'];2020-07-01;Status Active;B; Hexcel Fabrics SA;2012;2020;8
FR2957357A1;FR;8;2010-11-03;0000-00-00;2013-11-29;Status Withdr;C; Kennametal Inc;2010;2013;3
EP1940983B1;EP;11;2005-10-28;['2026-10-26'];2017-06-14;Status Active;C; CARE & PHARMA PERSPECTIVES SA;2005;2017;12
EP3237939B1;EP;5;2014-12-24;['2035-12-18'];2020-03-18;Status Active;G; EssilorLuxottica SA;2014;2020;6
FR2961022A1;FR;10;2010-02-06;['2030-06-02'];2013-07-31;Status Active;Y; UNIVERSITE PIERRE ET MARIE CURIE- PARIS 6, FR Electricite de France SA Centre National de la Recherche Scientifique CNRS;2010;2013;3
EP2021836B1;EP;12;2006-05-26;['2027-05-22'];2020-05-27;Status Active;C; EssilorLuxottica SA;2006;2020;14
FR2956968A1;FR;1;2010-08-03;['2030-03-08'];2015-11-30;Status Expire;A; EURVEST;2010;2015;5
FR2942403A1;FR;7;2009-02-23;0000-00-00;2013-10-31;Status Withdr;A; LOreal SA;2009;2013;4
FR2833972A1;FR;6;2001-12-21;['2022-12-20'];2008-10-20;Status Expire;C; Howmet Corp;2001;2008;7
EP1901985B1;EP;5;2005-11-07;['2026-07-10'];2013-07-31;Status Expire;B; SWISSTEX FRANCE;2005;2013;8
EP2167970B1;EP;9;2007-07-19;['2028-07-10'];2020-07-24;Status Active;G; Biomerieux SA;2007;2020;13
EP2171466B1;EP;9;2007-07-19;['2028-07-10'];2020-07-27;Status Active;G; Biomerieux SA Centre National de la Recherche Scientifique CNRS Institut Curie;2007;2020;13
EP2875538B1;EP;6;2012-07-17;['2033-07-03'];2020-10-16;Status Active;Y; Commissariat a lEnergie Atomique et aux Energies Alternatives;2012;2020;8
FR2883187A1;FR;5;2005-03-18;0000-00-00;2011-11-30;Status Withdr;A; Pentax Corp;2005;2011;6
FR2926086A1;FR;3;2008-04-01;['2028-01-04'];2013-09-30;Status Expire;C; IFP Energies Nouvelles IFPEN ENI SpA;2008;2013;5
EP2013418B1;EP;3;2006-02-05;['2027-05-02'];2020-05-27;Status Active;E; DENDRO CONCEPT;2006;2020;14
FR2863624A1;FR;6;2003-11-12;['2023-12-11'];2019-09-06;Status Expire;C; Bostik SA;2003;2019;16
EP2763874A1;EP;4;2011-07-10;['2032-10-05'];2020-07-30;Status Active;Y; Expliseat Sas;2011;2020;9
EP1620729A1;EP;4;2003-06-05;0000-00-00;2007-04-17;Status Withdr;C; Commissariat a lEnergie Atomique et aux Energies Alternatives Thales Angenieux SA;2003;2007;4
FR3024335A1;FR;2;2014-07-31;['2035-04-20'];2018-08-08;Status Active;G; EYELIGHTS, FR;2014;2018;4
EP1360046B1;EP;4;2001-02-16;['2022-01-08'];2006-01-31;Status Active;E; Max Boegl Bauunternehmung GmbH and Co KG;2001;2006;5
EP2617894A1;EP;15;2012-01-20;['2033-01-18'];2020-09-15;Status Active;C; Onduline SA;2012;2020;8
EP1578709B1;EP;5;2002-12-23;['2023-12-17'];2020-11-16;Status Active;C; Aldivia SA;2002;2020;18
EP2188656B1;EP;11;2007-09-14;['2028-09-12'];2020-09-29;Status Active;G; EssilorLuxottica SA;2007;2020;13
FR2940523A1;FR;1;2008-12-23;['2028-12-23'];2015-01-16;Status Expire;Y; LUSCOL PHOTOVOLTAICS SN, FR;2008;2015;7
EP1682276A1;EP;5;2003-11-14;['2024-11-15'];2020-09-08;Status Active;B; Commissariat a lEnergie Atomique et aux Energies Alternatives Genoptics SA;2003;2020;17
EP1727825A1;EP;8;2004-03-26;0000-00-00;2015-05-27;Status Withdr;C; Biomerieux SA;2004;2015;11
FR2968831A1;FR;7;2010-08-12;['2030-12-08'];2019-09-05;Status Expire;C; Soitec SA;2010;2019;9
EP1423539A2;EP;8;2001-07-09;['2022-09-09'];2014-09-10;Status Expire;C; Biomerieux SA Commissariat a lEnergie Atomique et aux Energies Alternatives;2001;2014;13
FR2882519A1;FR;4;2005-02-28;['2025-02-28'];2013-10-31;Status Expire;A; LOreal SA;2005;2013;8
FR2882521A1;FR;6;2005-02-28;['2025-02-28'];2013-10-31;Status Expire;A; LOreal SA;2005;2013;8
EP1402880A1;EP;6;2002-09-24;0000-00-00;2008-04-11;Status Withdr;A; LOreal SA;2002;2008;6
EP1856563A1;EP;5;2005-02-21;0000-00-00;2017-01-10;Status Withdr;C; EssilorLuxottica SA;2005;2017;12
FR2845534A1;FR;6;2002-08-10;['2023-08-08'];2020-04-06;Status Expire;Y; Mitsubishi Electric Corp;2002;2020;18
EP2484077A1;EP;4;2009-09-30;0000-00-00;2016-10-25;Status Pendin;H; TRUSTCORP S.A.;2009;2016;7
EP2294389B1;EP;4;2008-06-26;['2029-06-24'];2019-01-01;Status Expire;G; Commissariat a lEnergie Atomique et aux Energies Alternatives;2008;2019;11
EP1450657A1;EP;4;2001-03-12;0000-00-00;2007-12-18;Status Withdr;C; COMPAGNIE ALPINE D ALUMINIUM;2001;2007;6
EP2870655A1;EP;4;2012-03-07;['2033-07-01'];2020-07-16;Status Active;Y; Commissariat a lEnergie Atomique et aux Energies Alternatives;2012;2020;8
EP2303973A2;EP;4;2008-01-07;['2029-07-01'];2020-07-27;Status Active;C; Centre National de la Recherche Scientifique CNRS EssilorLuxottica SA;2008;2020;12
FR2846340A1;FR;1;2002-10-25;['2022-10-25'];2015-06-30;Status Expire;C; Constellium Issoire SAS;2002;2015;13
EP1505131B1;EP;4;2003-05-08;['2024-08-04'];2019-08-27;Status Active;C; EssilorLuxottica SA;2003;2019;16
EP2235139A2;EP;4;2008-04-01;0000-00-00;2019-07-02;Status Withdr;C; IFP Energies Nouvelles IFPEN ENI SpA;2008;2019;11
CA2762033A1;CA;7;2009-05-14;0000-00-00;2016-05-12;Status Abando;A; Sanofi Pasteur Inc;2009;2016;7
EP1479643B1;EP;6;2003-05-19;['2024-03-01'];2020-03-01;Status Active;B; MACC;2003;2020;17
EP2168812A1;EP;2;2008-09-26;0000-00-00;2010-10-21;Status Pendin;B; Valeo Vision SA;2008;2010;2
EP1932819A1;EP;7;2006-12-13;['2027-11-26'];2014-11-26;Status Expire;C; IFP Energies Nouvelles IFPEN;2006;2014;8
FR3024991A1;FR;1;2014-08-20;0000-00-00;2017-09-22;Status Pendin;E; SECURIFRANCE EXPANSION, FR;2014;2017;3
EP1499493A1;EP;4;2002-04-29;0000-00-00;2008-10-31;Status Withdr;B; Setiv;2002;2008;6
EP2430151B1;EP;11;2009-05-14;['2030-05-12'];2019-05-12;Status Active;A; Sanofi Pasteur Inc;2009;2019;10
EP2228458A1;EP;2;2009-02-27;0000-00-00;2012-10-19;Status Withdr;C; Corrugados Azpeitia Sl;2009;2012;3
EP2582622B1;EP;7;2010-06-16;['2031-06-15'];2014-04-02;Status Expire;C; Commissariat a lEnergie Atomique et aux Energies Alternatives;2010;2014;4
FR3037795A1;FR;2;2015-06-25;['2035-06-25'];2016-12-30;Status Active;A; LOreal SA;2015;2016;1
CA2810922A1;CA;29;2010-05-10;0000-00-00;2018-10-03;Status Abando;Y; MOTOR DEVELOPMENT INTERNATIONAL SA;2010;2018;8
EP1283010A1;EP;2;2001-10-08;0000-00-00;2004-08-21;Status Withdr;B; Cobiotex;2001;2004;3
CA2771055C;CA;17;2009-08-14;['2030-08-12'];2015-06-30;Status Active;C; Sanofi SA;2009;2015;6
EP1907629B1;EP;13;2005-07-27;['2026-07-26'];2018-07-26;Status Active;E; CNIM Groupe SA;2005;2018;13
EP2513350B1;EP;9;2009-12-16;['2030-12-15'];2017-10-18;Status Active;C; Safran Aircraft Engines SAS Safran Landing Systems SAS;2009;2017;8
EP2440616B1;EP;11;2009-12-06;['2030-06-10'];2020-07-01;Status Active;C; Elkem Silicones France SAS;2009;2020;11
EP3000137B1;EP;7;2013-05-22;['2034-05-12'];2020-05-27;Status Active;Y; Electricite de France SA Centre National de la Recherche Scientifique CNRS;2013;2020;7
EP3170214B1;EP;10;2014-07-17;['2035-07-09'];2019-07-09;Status Active;Y; Saint Gobain Glass France SAS Compagnie de Saint Gobain SA;2014;2019;5
EP1791872B1;EP;41;2004-09-09;['2025-09-07'];2019-09-30;Status Active;C; Sanofi Aventis France;2004;2019;15
EP1576077A1;EP;4;2002-12-23;0000-00-00;2006-08-23;Status Withdr;C; Aldivia SA;2002;2006;4
FR2837113A1;FR;1;2002-03-15;['2022-03-15'];2019-11-05;Status Expire;C; IFP Energies Nouvelles IFPEN;2002;2019;17
EP1905833B1;EP;1;2002-08-10;0000-00-00;2020-10-15;Status Active;C; Centre National de la Recherche Scientifique CNRS Aventis Pharma SA;2002;2020;18
CA2415479C;CA;9;2000-07-13;['2021-07-12'];2016-07-12;Status Expire;G; Saint Gobain Glass France SAS;2000;2016;16
EP1206715B2;EP;8;1999-11-17;0000-00-00;2020-11-17;Status Expire;C; Saint Gobain Glass France SAS;1999;2020;21
EP0745569B1;EP;7;1995-01-06;0000-00-00;2014-05-29;Status Expire;C; Saint Gobain Glass France SAS;1995;2014;19
EP0537240B1;EP;6;1990-04-07;0000-00-00;2005-03-31;Status Expire;H; Centre National de la Recherche Scientifique CNRS;1990;2005;15
EP0296014B1;EP;10;1987-09-06;0000-00-00;2007-06-06;Status Expire;Y; Airbus Group SAS;1987;2007;20
EP1065179B1;EP;9;1999-06-30;0000-00-00;2009-03-11;Status Expire;C; Saint Gobain Glass France SAS;1999;2009;10
EP0850203B1;EP;17;1995-09-15;0000-00-00;2016-09-12;Status Expire;C; Rhodia Chimie SAS;1995;2016;21
EP0353140B1;EP;17;1988-07-27;0000-00-00;2005-07-25;Status Expire;C; Saint Gobain Glass France SAS;1988;2005;17
EP0850204B1;EP;41;1995-09-15;0000-00-00;2007-09-07;Status Revoke;C; Saint Gobain Glass France SAS;1995;2007;12
EP0332526B1;EP;11;1988-10-03;0000-00-00;2009-03-06;Status Expire;C; IFP Energies Nouvelles IFPEN;1988;2009;21
EP0169868B1;EP;20;1984-01-27;0000-00-00;2004-08-01;Status Expire;A; Kaysersberg SA;1984;2004;20
EP1327047B1;EP;14;2000-10-18;['2021-10-17'];2020-09-16;Status Active;E; Saint Gobain Glass France SAS Compagnie de Saint Gobain SA;2000;2020;20
EP0214879B1;EP;13;1985-12-07;0000-00-00;2005-07-28;Status Expire;C; Sanofi SA;1985;2005;20
EP0016246B1;EP;6;1979-02-15;0000-00-00;1999-10-02;Status Expire;Y; International Business Machines Corp;1979;1999;20
EP0847965B1;EP;10;1996-12-12;0000-00-00;2017-12-12;Status Expire;C; Saint Gobain Glass France SAS;1996;2017;21
EP0638344B1;EP;7;1993-05-08;0000-00-00;2012-08-02;Status Expire;A; Gemplus SA;1993;2012;19
EP0260203B1;EP;16;1986-12-08;0000-00-00;2007-07-27;Status Expire;C; Rhone Poulenc Films SA;1986;2007;21
EP0628402B1;EP;8;1993-06-14;0000-00-00;2005-06-10;Status Expire;B; Airbus Group SAS;1993;2005;12
EP0831360A1;EP;7;1996-09-18;0000-00-00;2009-09-19;Status Expire;C; Saint Gobain Glass France SAS;1996;2009;13
EP0781603B1;EP;5;1995-12-28;0000-00-00;2013-01-02;Status Expire;B; IFP Energies Nouvelles IFPEN;1995;2013;18
EP0882155B1;EP;11;1996-02-19;0000-00-00;2015-02-10;Status Expire;Y; Georgia-Pacific France;1996;2015;19
EP0825478A1;EP;6;1996-08-22;0000-00-00;2008-02-09;Status Ceased;C; Saint Gobain Glass France SAS;1996;2008;12
EP0823407A2;EP;5;1996-07-08;0000-00-00;2001-12-19;Status Withdr;C; Saint Gobain Glass France SAS;1996;2001;5
EP0051018A1;EP;14;1980-10-17;0000-00-00;1988-11-18;Status Expire;G; Services Petroliers Schlumberger SA Schlumberger Ltd Netherlands Schlumberger Ltd;1980;1988;8
EP0937013B1;EP;12;1997-07-21;0000-00-00;2018-07-22;Status Expire;C; Saint Gobain Glass France SAS;1997;2018;21
EP0333559B1;EP;11;1988-03-16;0000-00-00;2009-03-09;Status Expire;Y; Pro Catalyse SA;1988;2009;21
EP3097057A1;EP;6;2014-01-22;0000-00-00;2019-08-01;Status Withdr;C; Fougereux Jean-Michel;2014;2019;5
FR2994173A1;FR;1;2012-02-08;0000-00-00;2016-02-09;Status Pendin;C; JEAN-MICHEL FOUGEREUX, FR;2012;2016;4
CA2228768C;CA;6;1996-12-12;0000-00-00;2017-12-04;Status Expire;C; Safran Aircraft Engines SAS;1996;2017;21
FR3039127A1;FR;1;2015-07-21;0000-00-00;2017-01-27;Status Pendin;B; Acri-In Sas;2015;2017;2
EP0882154B1;EP;13;1996-02-19;0000-00-00;2017-02-11;Status Expire;A; Georgia-Pacific France BASF Health and Care Products France SAS;1996;2017;21
EP1322673B1;EP;50;2000-09-22;0000-00-00;2020-09-09;Status Active;C; Sanofi Aventis France;2000;2020;20
EP0100705A1;EP;6;1982-07-27;0000-00-00;2002-07-07;Status Expire;C; Corning Inc;1982;2002;20
